,0
0,"J'ai acheté cette paire d'écouteurs car j'ai été surpris et charmé par l'apparence du boîtier sous forme d'écrin d'apparence ""cuir"" et des écouteurs de la marque bien connue Aukey ! La grande nouveauté par rapport à la concurrence, c'est la mousse à mémoire de forme comme embout sur les écouteurs, c'est très agréable, un peu perturbant au début mais on s'y fait vite! Ça change vraiment de ce que je peux connaître d'habitude! Le contrôle sur les écouteurs est tactile et le microphone Intégré est efficace ! Les basses sont plutôt bonnes, c'est appréciable et le maintien dans l'oreille est bon. Je recommande. J'espère que ce commentaire vous a été utile."
1,"elles sont très pratiques et confortables, elles tiennent très bien dans l'oreille. Je suis très surprise de leur batterie, elles tiennent 4h et leur boîte de chargement tient 12h. J'avais peur que cela soit trop peu, mais dans la réalité je me retrouve très rarement à devoir les charger. Je me contente de les mettre dans leur étui une fois par jour pendant ma pause déjeuner, et je n'ai jamais de problème de batterie. Pas de perte de connexion entre plusieurs écoutes. Facile de rangement grâce à la petite taille du boitier de recharge. Une pression sur l'écouteur permet de mettre sur stop la musique et une nouvelle pression permet la reprise. Il y a aussi la possibilité de n'avoir qu'un écouteur de fonctionnel pendant que l'autre ce trouve dans la boîte."
2,La livraison était très rapide Qualité du son 90% Confort 95% Sound isolation (réduction du bruit) 100% Qualité prix 100% Design 100% Très facile à utiliser Il fait voir le pourcentage de batterie sur le portable
3,"Simple d'utilisation et connexion rapide. Le son est parfait pour écouter de la musique ou passer des appels. La batterie tient plusieurs jours avec écoute prolongé. Petit plus, port très confortable avec les embouts en mousse !"
4,"Faites l'achat pour mon fils, car avec l'accouchement, il avait besoin d'eux pour suivre des cours. Au final, l'achat m'a paru meilleur que prévu. La qualité de l'étui est très bonne, elle a une finition fine et élégante (comme si c'était du cuir). Il a une bande élastique qui peut être placée / attachée presque n'importe où. Ce que j'ai le plus aimé, c'est la façon dont il s'adapte à l'oreille, créant un environnement d'annulation du son parfait. Il dispose également de 3 embouts en silicone de 3 tailles différentes. L'ordinateur est livré avec son câble USB pour la recharge. J'ai couru plusieurs fois avec eux et je n'ai pas eu de problème, ils sont bien ajustés. Livré avec une garantie de 24 mois"
5,"Toujours ravi par cette marque, bonne fabrication et belle finition , ce connect facilement, le son est clair, très simple et efficace."
6,"J'avais envie d'essayer les écouteurs sans fils du style airpods car mon nouveau gsm, le Samsung galaxy note 10 plus n'a pas de prise Jack, j'ai donc acheté ces écouteurs et après plusieurs jours d'utilisation, j'en suis tout simplement fan, ils sont faciles à utiliser, une fois appairer, ils se connectent automatiquement à mon GSM dès que je les sors de leur boîte. L'autonomie est excellente, ils sont puissants et ils tiennent bien dans mon oreille."
7,"Très bons écouteurs confortables, assez légers on les sent à peine, bonne isolation du bruit extérieur pour le prix, qualité du son exceptionnelle étant une adepte de Bose et des casques à réduction de bruit. D’autres marques au même prix sont bien moins confortables et trop dans les aigus avec une isolation extérieur proche de zéro. Je l’utilise surtout pour regarder des films sur iPad ou écouter la musique pas de décalage noté pour les films. Le son n’est juste pas réglable lorsque les écouteurs sont connectés à un Mac mais très bon son et pas de décalage non plus. Contente de cet achat."
8,"Appena mi sono arrivate, non ho resistito nel provarle e recensirle immediatamente. In generale, nella mia pregressa esperienza, Mi sono imbattuto in cuffie bluetooth di bassa qualità e prezzo anche abbastanza elevato (35-45€) ma mi sono subito reso conto che si trattava della solita cinesata che su siti cinesi trovi a 4/5 dollari (non so se avete presente le cuffie con il fulmine e le impronte digitali colorate in verde/celeste...). Un mio amico runner mi ha consigliato di acquistare queste cuffie bluetooth perché lui si stava trovando egregiamente. Ho seguito il suo consiglio e ad oggi ritengo di essere estremamente soddisfatto, per i seguenti motivi: 1) la qualità del suono è impressionante (al pari delle air pods) 2) la qualità delle chiamate mi ha veramente stupito. Questo infatti è l'aspetto più critico perché finora ho beccato solo fregature. Con queste cuffie la qualità della chiamata è assicurata (si avvicina alla qualità degli Air Pods che in tale settore, secondo me, sono imbattibili) 3) Durata eccellente perché garantisco un buon mix di autonomia tra ascolto musica e chiamate (le ho stressate parecchio e hanno una durata di circa 5/6 ore). 4) nella confezione sono presenti diverse taglie di cuscinetti per orecchie (S/M/L/XL) e quindi sono adattabili perfettamente; 5) il bluetooth è straordinariamente potente poiché ho provato ad allontanarmi dallo smartphone di almeno 25 metri e il segnale era chiaro e forte; In definitiva, state tranquilli non è la solita cinesata. È un prodotto di qualità! #Joseph#"
9,"Ancora una volta i prodotti della AUKEY si dimostrano perfetti ed affidabili. Ho usato queste cuffie Bluetooth per diversi giorni e devo dire che il suono risulta pulito e cristallino, i bassi si sentono bene e sono soddisfacenti quando si ascolta della musica. Li ho provati anche durante delle chiamate; il suono in arrivo risultava preciso e puntuale (senza ritardi) e così anche il mio interlocutore non ha avuto problemi a capire ciò che dicessi. Sono un ottimo prodotto e le consiglio a chiunque voglia delle ottime cuffie Bluetooth. La confezione contiene, oltre alle cuffie: - custodia di ricarica (le cuffie si possono caricare solo all'interno della custodia); - cavo di ricarica (micro usb); - gommini sostitutivi per le cuffie (taglia piccola e grande rispetto a quelle medie che escono di base)."
