num_rumor;date;name;id;content;retweets;
0;2015-08-10;Vitacare Health;@vitacarehealth;Swine Flu (2009 H1N1 Flu) in South Africa http://bit.ly/1HRBRnT ;0;
0;2015-07-30;Vitacare Health;@vitacarehealth;Swine Flu (2009 H1N1 Flu) in South Africa http://bit.ly/1HRBRnT ;0;
0;2015-07-29;Vitacare Health;@vitacarehealth;Swine Flu (2009 H1N1 Flu) in South Africa http://bit.ly/1HRBRnT ;0;
0;2015-07-23;African Holidays;@Africagetaway;Swine Flu, also known as Vark-Griep killed a woman in Gauteng (South Africa. http://www.netwerk24.com/nuus/2015-07-21-jong-ma-met-varkgriep-sterf … pic.twitter.com/vdtw6sc4UJ;0;
0;2015-07-15;pandemie6;@pandemie6;2 cases of #swineflu confirmed in Bloem - News24 : http://bit.ly/1O5O9rg ;0;
0;2015-07-15;Live H1N1;@live_h1n1;2 cases of #swineflu confirmed in Bloem - News24 : http://bit.ly/1O5O9rg ;0;
0;2015-07-15;Flu_Alert_Swine_Flu;@Flu_alert;2 cases of #swineflu confirmed in Bloem - News24 : http://bit.ly/1O5O9rg ;0;
0;2015-07-15;Live H9N2;@Live_H9N2;2 cases of #swineflu confirmed in Bloem - News24 : http://bit.ly/1O5O9rg ;0;
0;2015-07-13;#25thAug;@Sir_Fkay;2 people have been treated for the H1N1 virus, commonly known as swine flu, @Mediclinic Bloem http://m.news24.com/news24/SouthAfrica/News/2-cases-of-swine-flu-confirmed-in-Bloem-20150710 … (via @News24 Mobile);0;
0;2015-07-12;Flu_Alert_Swine_Flu;@Flu_alert;Two more cases of #swineflu confirmed in South Africa - Sowetan Live (press release) (registration) (blog) : http://bit.ly/1Cuu8da ;1;
0;2015-07-12;Live H9N2;@Live_H9N2;Two more cases of #swineflu confirmed in South Africa - Sowetan Live (press release) (registration) (blog) : http://bit.ly/1Cuu8da ;0;
0;2015-07-12;pandemie6;@pandemie6;Two more cases of #swineflu confirmed in South Africa - Sowetan Live (press release) (registration) (blog) : http://bit.ly/1Cuu8da ;0;
0;2015-07-12;Live H1N1;@live_h1n1;Two more cases of #swineflu confirmed in South Africa - Sowetan Live (press release) (registration) (blog) : http://bit.ly/1Cuu8da ;1;
0;2015-07-11;Flu H1N1 H5N1;@fluetweets;#H1N1 http://allAfrica.com : South Africa: Two Cases of Swine Flu Confirmed in Bloemfentein… http://goo.gl/fb/28hpQt ;0;
0;2015-07-11;Flu H1N1 H5N1;@fluetweets;#H1N1 http://allAfrica.com : South Africa: Two Cases of Swine Flu Confirmed in Bloemfentein… http://goo.gl/fb/EvodxW ;0;
